anomaly_type,detection_method,level,study,site_id,country,region,metric,value,zscore,mean,std,severity,description,recommendation,lower_bound,upper_bound
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 12,KOR,ASIA,avg_dqi_score,0.4448495776561272,6.72,0.045,0.06,CRITICAL,avg_dqi_score is 6.7 standard deviations above the mean (0.445 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 17,ESP,EMEA,avg_dqi_score,0.5091985613087057,7.8,0.045,0.06,CRITICAL,avg_dqi_score is 7.8 standard deviations above the mean (0.509 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 22,USA,AMERICA,avg_dqi_score,0.1980097984322508,2.58,0.045,0.06,MEDIUM,avg_dqi_score is 2.6 standard deviations above the mean (0.198 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 27,CHN,ASIA,avg_dqi_score,0.3401317130747358,4.96,0.045,0.06,CRITICAL,avg_dqi_score is 5.0 standard deviations above the mean (0.340 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 4,FRA,EMEA,avg_dqi_score,0.2668846244428106,3.73,0.045,0.06,HIGH,avg_dqi_score is 3.7 standard deviations above the mean (0.267 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 6,AUT,EMEA,avg_dqi_score,0.2949393825453292,4.2,0.045,0.06,CRITICAL,avg_dqi_score is 4.2 standard deviations above the mean (0.295 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_1,Site 7,ISR,EMEA,avg_dqi_score,0.2639593743900059,3.68,0.045,0.06,HIGH,avg_dqi_score is 3.7 standard deviations above the mean (0.264 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_10,Site 29,USA,AMERICA,avg_dqi_score,0.2775332956910065,3.91,0.045,0.06,HIGH,avg_dqi_score is 3.9 standard deviations above the mean (0.278 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_11,Site 417,ITA,EMEA,avg_dqi_score,0.2333333333333333,3.17,0.045,0.06,HIGH,avg_dqi_score is 3.2 standard deviations above the mean (0.233 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_13,Site 110,AUS,ASIA,avg_dqi_score,0.302639999010585,4.33,0.045,0.06,CRITICAL,avg_dqi_score is 4.3 standard deviations above the mean (0.303 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
STATISTICAL_OUTLIER,Z-Score,site,Study_14,Site 502,CAN,AMERICA,avg_dqi_score,0.2453654421408782,3.37,0.045,0.06,HIGH,avg_dqi_score is 3.4 standard deviations above the mean (0.245 vs mean 0.045),Investigate why avg_dqi_score is unusually high at this site,,
