study,site_id,country,region,subject_count,avg_dqi_score,max_dqi_score,std_dqi_score,total_issue_types,avg_issue_types,high_risk_count,medium_risk_count,subjects_with_issues,sae_pending_count_sum,uncoded_meddra_count_sum,missing_visit_count_sum,missing_pages_count_sum,lab_issues_count_sum,max_days_outstanding_sum,max_days_page_missing_sum,uncoded_whodd_count_sum,edrr_open_issues_sum,inactivated_forms_count_sum,site_risk_category
Study_1,Site 1,FRA,EMEA,1,0.049978070175438614,0.049978070175438614,0.0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,5,Medium
Study_1,Site 10,DEU,EMEA,3,0.08631213450292398,0.10604166666666667,0.03150499292438237,5,1.6666666666666667,0,3,3,0,0,0,0,0,0,0,0,5,307,Medium
Study_1,Site 11,SGP,ASIA,2,0.09530809070548713,0.14195390070921987,0.06596713713515744,3,1.5,0,2,2,0,0,0,2,0,0,61,0,0,1,Medium
Study_1,Site 12,KOR,ASIA,1,0.4448495776561272,0.4448495776561272,0.0,8,8.0,1,0,1,0,0,1,2,4,11,52,5,1,27,High
Study_1,Site 13,ESP,EMEA,2,0.024331140350877193,0.048662280701754386,0.03440942867221379,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,1,Low
Study_1,Site 14,ESP,EMEA,14,0.08600566635804703,0.38130500501458975,0.10227600605941362,22,1.5714285714285714,1,11,12,0,0,4,4,2,16,0,1,6,381,Medium
Study_1,Site 15,ESP,EMEA,16,0.10519232623648592,0.3361169734231921,0.10402217537687908,30,1.875,2,10,12,0,0,1,25,0,10,324,0,19,636,High
Study_1,Site 16,ESP,EMEA,5,0.06248026315789475,0.09979166666666667,0.02167054288254573,6,1.2,0,5,5,0,0,0,0,0,0,0,0,1,238,Medium
Study_1,Site 17,ESP,EMEA,3,0.5091985613087057,0.7148750245454507,0.31374794987086285,19,6.333333333333333,2,1,3,8,4,2,8,1,22,157,0,2,64,High
Study_1,Site 18,USA,AMERICA,14,0.08958897334271645,0.28870814490522473,0.06712244955938082,22,1.5714285714285714,1,13,14,0,0,4,3,0,15,0,1,3,1333,Medium
Study_1,Site 19,USA,AMERICA,5,0.17354574764929756,0.43722705851524457,0.17397322355350864,13,2.6,2,3,5,0,0,2,33,0,32,174,9,6,197,High
Study_1,Site 2,FRA,EMEA,4,0.1073345972635739,0.25203575747534823,0.09665295845111359,7,1.75,1,3,4,0,0,0,16,1,0,38,0,0,246,High
Study_1,Site 20,USA,AMERICA,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
Study_1,Site 21,USA,AMERICA,3,0.18423421363692924,0.45241755319148935,0.23225364316318092,7,2.3333333333333335,1,2,3,3,0,0,19,0,0,63,0,3,127,High
Study_1,Site 22,USA,AMERICA,1,0.19800979843225086,0.19800979843225086,0.0,3,3.0,0,1,1,0,0,0,22,0,0,21,0,0,1,High
Study_1,Site 23,USA,AMERICA,3,0.1756662515852714,0.2608443127998604,0.11136302864339867,10,3.3333333333333335,1,2,3,0,0,0,9,0,0,58,1,3,121,High
Study_1,Site 24,USA,AMERICA,1,0.10916666666666666,0.10916666666666666,0.0,2,2.0,0,1,1,0,0,0,0,0,0,0,0,4,166,High
