study,site_id,anomaly_count,critical_count,high_count,medium_count,low_count,anomaly_types,type_diversity,anomaly_score,top_anomalies
Study_24,Site 888,13,8,4,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER, VELOCITY_ANOMALY",3,1.15,avg_dqi_score is 4.6 standard deviations above the mean (0.316 vs mean 0.045); high_risk_count is 3.8 standard deviations above the mean (15.000 vs mean 1.548); subjects_with_issues is 3.2 standard deviations above the mean (23.000 vs mean 3.590)
"Study_24, Study_8",Site 425,1,1,0,0,0,CROSS_STUDY_ANOMALY,1,1.1,"Site Site 425 is high risk in 2/2 studies: Study_24, Study_8"
Study_2,Site 30,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,inactivated_forms_count_sum is 4.1 standard deviations above the mean (482.000 vs mean 19.638)
Study_2,Site 2,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,inactivated_forms_count_sum is 4.5 standard deviations above the mean (519.000 vs mean 19.638)
Study_21,Site 921,6,5,0,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.1,subject_count is 4.8 standard deviations above the mean (132.000 vs mean 17.051); high_risk_count is 7.8 standard deviations above the mean (29.000 vs mean 1.548); subjects_with_issues is 4.2 standard deviations above the mean (29.000 vs mean 3.590)
Study_21,Site 1555,2,2,0,0,0,STATISTICAL_OUTLIER,1,1.1,missing_visit_count_sum is 4.7 standard deviations above the mean (7.000 vs mean 0.472); max_days_outstanding_sum is 7.6 standard deviations above the mean (432.000 vs mean 12.455)
Study_21,Site 1640,9,6,3,0,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.1,subject_count is 11.4 standard deviations above the mean (289.000 vs mean 17.051); high_risk_count is 5.0 standard deviations above the mean (19.000 vs mean 1.548); subjects_with_issues is 7.9 standard deviations above the mean (52.000 vs mean 3.590)
Study_21,Site 162,6,5,0,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.1,subject_count is 4.1 standard deviations above the mean (114.000 vs mean 17.051); high_risk_count is 8.1 standard deviations above the mean (30.000 vs mean 1.548); subjects_with_issues is 4.3 standard deviations above the mean (30.000 vs mean 3.590)
Study_23,Site 3,4,4,0,0,0,STATISTICAL_OUTLIER,1,1.1,subject_count is 10.3 standard deviations above the mean (262.000 vs mean 17.051); subjects_with_issues is 18.9 standard deviations above the mean (119.000 vs mean 3.590); edrr_open_issues_sum is 38.9 standard deviations above the mean (187.000 vs mean 0.631)
Study_22,Site 1752,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_meddra_count_sum is 7.4 standard deviations above the mean (7.000 vs mean 0.156)
Study_22,Site 1858,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_meddra_count_sum is 21.3 standard deviations above the mean (20.000 vs mean 0.156)
Study_22,Site 503,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_meddra_count_sum is 4.1 standard deviations above the mean (4.000 vs mean 0.156)
Study_22,Site 865,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_meddra_count_sum is 6.3 standard deviations above the mean (6.000 vs mean 0.156)
Study_9,Site 18,3,2,1,0,0,"STATISTICAL_OUTLIER, VELOCITY_ANOMALY",2,1.1,"subjects_with_issues is 4.5 standard deviations above the mean (31.000 vs mean 3.590); inactivated_forms_count_sum is 37.7 standard deviations above the mean (4228.000 vs mean 19.638); Site has 136.4 issues per subject (4228 issues / 31 subjects), 4.6σ above average"
Study_21,Site 92,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_meddra_count_sum is 5.2 standard deviations above the mean (5.000 vs mean 0.156)
Study_25,Site 2221,2,2,0,0,0,STATISTICAL_OUTLIER,1,1.1,subjects_with_issues is 4.3 standard deviations above the mean (30.000 vs mean 3.590); inactivated_forms_count_sum is 6.0 standard deviations above the mean (688.000 vs mean 19.638)
"Study_24, Study_5",Site 338,1,1,0,0,0,CROSS_STUDY_ANOMALY,1,1.1,"Site Site 338 is high risk in 2/2 studies: Study_24, Study_5"
Study_22,Site 970,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,max_days_page_missing_sum is 4.3 standard deviations above the mean (325.000 vs mean 15.133)
Study_10,Site 460,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,uncoded_whodd_count_sum is 4.5 standard deviations above the mean (8.000 vs mean 0.294)
Study_22,Site 1020,1,1,0,0,0,STATISTICAL_OUTLIER,1,1.1,max_days_page_missing_sum is 7.0 standard deviations above the mean (524.000 vs mean 15.133)
Study_21,Site 925,7,5,1,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.071,subject_count is 9.4 standard deviations above the mean (242.000 vs mean 17.051); high_risk_count is 8.9 standard deviations above the mean (33.000 vs mean 1.548); subjects_with_issues is 5.0 standard deviations above the mean (34.000 vs mean 3.590)
Study_21,Site 22,7,5,1,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.071,subject_count is 4.8 standard deviations above the mean (131.000 vs mean 17.051); high_risk_count is 12.1 standard deviations above the mean (44.000 vs mean 1.548); subjects_with_issues is 6.8 standard deviations above the mean (45.000 vs mean 3.590)
Study_21,Site 175,8,5,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,subject_count is 6.4 standard deviations above the mean (169.000 vs mean 17.051); high_risk_count is 7.5 standard deviations above the mean (28.000 vs mean 1.548); subjects_with_issues is 4.3 standard deviations above the mean (30.000 vs mean 3.590)
Study_21,Site 916,8,5,2,1,0,"PATTERN_ANOMALY, STATISTICAL_OUTLIER",2,1.05,subject_count is 7.6 standard deviations above the mean (199.000 vs mean 17.051); high_risk_count is 10.1 standard deviations above the mean (37.000 vs mean 1.548); subjects_with_issues is 5.6 standard deviations above the mean (38.000 vs mean 3.590)
