study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_1,Site 1,FRA,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999929,6.362370021526113e-15,6.802990280676712e-25
Study_1,Site 10,DEU,EMEA,3,Medium,1,Cluster_1_High_Risk_Elevated_DQI,5.550285180572729e-14,0.9999999949873128,5.012632365368358e-09
Study_1,Site 11,SGP,ASIA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999978807832,2.1192176203869665e-09
Study_1,Site 12,KOR,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.2975083705814038e-66
Study_1,Site 13,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.5958296806358775e-20
Study_1,Site 14,ESP,EMEA,14,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 15,ESP,EMEA,16,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 16,ESP,EMEA,5,Medium,0,Cluster_0_Low_Risk,0.9999999999983693,1.6291711755890474e-12,1.0786361821904856e-21
Study_1,Site 17,ESP,EMEA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 18,USA,AMERICA,14,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999986514581,1.3485419251154713e-08
Study_1,Site 19,USA,AMERICA,5,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.8258586681758224e-36
Study_1,Site 2,FRA,EMEA,4,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,4.446793149230613e-19
Study_1,Site 20,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_1,Site 21,USA,AMERICA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 22,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,0.0
Study_1,Site 23,USA,AMERICA,3,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999649329,3.5066734031508075e-11
Study_1,Site 24,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,6.42262944112297e-66,0.9999999978682919,2.131708235934939e-09
Study_1,Site 25,GBR,EMEA,2,Medium,0,Cluster_0_Low_Risk,0.9999999999999893,8.981051535683366e-15,2.26831438576791e-24
Study_1,Site 26,CHN,ASIA,3,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_1,Site 27,CHN,ASIA,3,High,0,Cluster_0_Low_Risk,1.0,0.0,0.0
Study_1,Site 3,FRA,EMEA,3,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999832071539,1.679284626047363e-08
Study_1,Site 4,FRA,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,7.563728266358402e-36
Study_1,Site 5,AUT,EMEA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999992659205,7.340795701141106e-10
Study_1,Site 6,AUT,EMEA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,3.4286845265719856e-133
Study_1,Site 7,ISR,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,6.360822385357643e-132
Study_1,Site 8,ISR,EMEA,1,Medium,0,Cluster_0_Low_Risk,0.9999999999999929,6.362370021526113e-15,6.802990280676712e-25
Study_1,Site 9,CZE,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 11,HUN,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 149,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 153,ITA,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,9.010658855360326e-37
Study_10,Site 154,ITA,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 28,USA,AMERICA,4,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 29,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,2.0900144624183945e-58
Study_10,Site 32,USA,AMERICA,1,Medium,0,Cluster_0_Low_Risk,0.9999999977641547,2.235845201021699e-09,1.539187097539442e-17
Study_10,Site 33,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 357,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 36,USA,AMERICA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 38,USA,AMERICA,6,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 40,USA,AMERICA,3,High,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 42,USA,AMERICA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 451,USA,AMERICA,3,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999993248256,6.751744624185974e-09
Study_10,Site 452,USA,AMERICA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,4.234714615705729e-17
Study_10,Site 453,USA,AMERICA,6,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 454,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 455,USA,AMERICA,6,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 456,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_10,Site 457,USA,AMERICA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999744423057,2.5557693849280782e-08
Study_10,Site 458,USA,AMERICA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.999999981649806,1.8350194141603674e-08
Study_10,Site 459,CHN,ASIA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 460,CHN,ASIA,3,Low,0,Cluster_0_Low_Risk,0.999999920693659,0.0,7.930634110658589e-08
Study_10,Site 461,JPN,ASIA,2,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999909425412,9.05745930167781e-09
Study_10,Site 462,JPN,ASIA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999999999929,7.132350704523694e-15
Study_10,Site 463,JPN,ASIA,4,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999927468828,7.253117777752619e-09
Study_10,Site 464,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_10,Site 465,ESP,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.750195340411659e-19
Study_10,Site 50,CAN,AMERICA,2,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999930226497,6.977351022049718e-09
Study_10,Site 51,CAN,AMERICA,3,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_10,Site 79,CHN,ASIA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,3.8234811216425184e-17
Study_10,Site 8,CHN,ASIA,3,Medium,2,Cluster_2_Average,1.722546697018102e-95,0.0,1.0
Study_10,Site 87,CZE,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,1.0311971060031488e-17
Study_10,Site 9,JPN,ASIA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 12,ESP,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 125,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 127,NLD,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 128,NLD,EMEA,3,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 130,POL,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 131,POL,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 14,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 148,CHE,EMEA,10,Low,0,Cluster_0_Low_Risk,0.999973904635247,0.0,2.6095364753410036e-05
Study_11,Site 149,CHE,EMEA,7,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.0913889908221326e-19
Study_11,Site 15,CAN,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 155,GBR,EMEA,1,Medium,1,Cluster_1_High_Risk_Elevated_DQI,0.0,0.9999999794266172,2.057338293665427e-08
Study_11,Site 157,GBR,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 158,GBR,EMEA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.743962688818995e-19
Study_11,Site 178,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 18,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 181,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 183,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 184,USA,AMERICA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_11,Site 186,USA,AMERICA,2,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_11,Site 188,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_11,Site 189,USA,AMERICA,4,Low,2,Cluster_2_Average,0.0011874984766444942,0.0,0.9988125015233561
Study_11,Site 2,JPN,ASIA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_11,Site 20,USA,AMERICA,6,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.404488920971809e-19
Study_11,Site 21,USA,AMERICA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_11,Site 24,USA,AMERICA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
